Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
690,249.929436733353,0,0,0,0.00914990833715989,0.0580742400474679,0,0,0,24,0.1,2e-4,249.99666088173763
720,249.934735781044,0,0,0,0.00526499515595242,0.0580776302948445,0,0,0,25,0.1,2e-4,249.99807840649478
750,249.937785261268,0,0,0,0.00302942169513813,0.0580795811621461,0,0,0,26,0.1,2e-4,249.99889426412528
780,249.939540008618,0,0,0,0.00174305172842704,0.0580807036928247,0,0,0,27,0.1,2e-4,249.99936376403926
810,249.940549681587,0,0,0,0.00100289246585671,0.0580813495757519,0,0,0,28,0.1,2e-4,249.9996339236286
840,249.94113062497,0,0,0,5.7702515874316e-4,0.0580817211972282,0,0,0,29,0.1,2e-4,249.99978937132596
870,249.941464881089,0,0,0,3.3199610870653e-4,0.0580819350145371,0,0,0,30,0.1,2e-4,249.99987881221224
900,249.94165719938,0,0,0,1.9101611530925e-4,0.0580820580363346,0,0,0,31,0.1,2e-4,249.99993027353165
930,249.941767851393,0,0,0,1.0990218239631e-4,0.0580821288178144,0,0,0,32,0.1,2e-4,249.9999598823932
960,249.941831515788,0,0,0,6.32327715369371e-5,0.0580821695423618,0,0,0,33,0.1,2e-4,249.9999769181019
990,249.941868145465,0,0,0,3.638127245277e-5,0.0580821929734442,0,0,0,34,0.1,2e-4,249.9999867197109
1020,249.941889220538,0,0,0,2.09321296948207e-5,0.058082206454631,0,0,0,35,0.1,2e-4,249.99999235912233
1050,249.941901346181,0,0,0,1.20433933679327e-5,0.0580822142110937,0,0,0,36,0.1,2e-4,249.99999560378546
1080,249.941908322726,0,0,0,6.92921891073557e-6,0.0580822186738093,0,0,0,37,0.1,2e-4,249.99999747061872
1110,249.941912336712,0,0,0,3.98675609189161e-6,0.0580822212414523,0,0,0,38,0.1,2e-4,249.99999854470954
1140,249.941914646176,0,0,0,2.2937972953078e-6,0.0580822227187569,0,0,0,39,0.1,2e-4,249.99999916269206
1170,249.941915974937,0,0,0,1.3197461313915e-6,0.0580822235687304,0,0,0,40,0.1,2e-4,249.99999951825185
1200,249.941916739445,0,0,0,7.59321599728956e-7,0.0580822240577664,0,0,0,41,0.1,2e-4,249.99999972282436
1230,249.941917179307,0,0,0,4.36878937826319e-7,0.0580822243391353,0,0,0,42,0.1,2e-4,249.99999984052508
1260,249.941917432385,0,0,0,2.51360168963372e-7,0.0580822245010221,0,0,0,43,0.1,2e-4,249.9999999082462
1290,249.941917577994,0,0,0,1.44621150015305e-7,0.0580822245941644,0,0,0,44,0.1,2e-4,249.99999994720932
1320,249.94191766177,0,0,0,8.32083981014944e-8,0.0580822246477542,0,0,0,45,0.1,2e-4,249.99999996962615
1350,249.941917709971,0,0,0,4.78743082113011e-8,0.0580822246785873,0,0,0,46,0.1,2e-4,249.9999999825239
1380,249.941917737705,0,0,0,2.75446882534575e-8,0.0580822246963272,0,0,0,47,0.1,2e-4,249.99999998994602
